,layer_name,class1,class2,acts_dim,train_accuracy,test_accuracy,train_time
0,Conv1,dog,cat,8192,0.7058,0.576,9.587905168533325
1,Conv_1,dog,cat,1280,0.9137,0.7695,1.231205940246582
2,global_average_pooling2d,dog,cat,1280,0.929,0.766,1.145726203918457
3,predictions,dog,cat,10,0.9048,0.7645,0.011140823364257812
4,expanded_conv_project,dog,cat,4096,0.9149,0.663,4.524475812911987
5,block_1_project,dog,cat,1536,0.8152,0.7125,1.4157843589782715
6,block_2_project,dog,cat,1536,0.8284,0.7325,1.7190091609954834
7,block_3_project,dog,cat,512,0.813,0.753,0.5059092044830322
8,block_4_project,dog,cat,512,0.8154,0.749,0.5322949886322021
9,block_5_project,dog,cat,512,0.8306,0.763,0.509075403213501
10,block_6_project,dog,cat,256,0.8766,0.7785,0.2577805519104004
11,block_7_project,dog,cat,256,0.8781,0.76,0.3222622871398926
12,block_8_project,dog,cat,256,0.8927,0.7695,0.7389862537384033
13,block_9_project,dog,cat,256,0.9032,0.759,0.2809123992919922
14,block_10_project,dog,cat,384,0.9345,0.7675,0.3925161361694336
15,block_11_project,dog,cat,384,0.9189,0.7745,0.3647305965423584
16,block_12_project,dog,cat,384,0.919,0.778,0.3621938228607178
17,block_13_project,dog,cat,160,0.9197,0.7695,0.21728897094726562
18,block_14_project,dog,cat,160,0.5444,0.538,0.21620607376098633
19,block_15_project,dog,cat,160,0.7746,0.6735,0.08305954933166504
20,block_16_project,dog,cat,320,0.9163,0.772,0.37375450134277344
21,,,,,,,
22,pixel,dog,cat,3072,0.6898,0.579,3.200575590133667
