layer_name,class1,class2,acts_dim,train_accuracy,test_accuracy,train_time
Conv1,truck,automobile,8192,0.7858,0.673,9.30683183670044
Conv_1,truck,automobile,1280,0.9782,0.9215,1.2945291996002197
global_average_pooling2d,truck,automobile,1280,0.9858,0.9135,1.441382646560669
predictions,truck,automobile,10,0.9745,0.907,0.025963544845581055
expanded_conv_project,truck,automobile,4096,1.0,0.813,4.939537048339844
block_1_project,truck,automobile,1536,0.9416,0.846,1.5221383571624756
block_2_project,truck,automobile,1536,0.9669,0.8605,1.5036306381225586
block_3_project,truck,automobile,512,0.9457,0.9035,0.5681581497192383
block_4_project,truck,automobile,512,0.9535,0.91,0.5875005722045898
block_5_project,truck,automobile,512,0.9569,0.9015,0.5562870502471924
block_6_project,truck,automobile,256,0.9746,0.922,0.3354368209838867
block_7_project,truck,automobile,256,0.9748,0.908,0.3144948482513428
block_8_project,truck,automobile,256,0.9798,0.9155,0.6596965789794922
block_9_project,truck,automobile,256,0.9818,0.9145,0.34949493408203125
block_10_project,truck,automobile,384,0.9895,0.921,0.38554930686950684
block_11_project,truck,automobile,384,0.9848,0.916,0.3620026111602783
block_12_project,truck,automobile,384,0.9824,0.917,0.43893003463745117
block_13_project,truck,automobile,160,0.9809,0.9225,0.23725032806396484
block_14_project,truck,automobile,160,0.8014,0.7735,0.1818070411682129
block_15_project,truck,automobile,160,0.6375,0.642,0.06442809104919434
block_16_project,truck,automobile,320,0.9785,0.921,0.4004404544830322
