,layer_name,class1,class2,acts_dim,train_accuracy,test_accuracy,train_time
0,Conv1,truck,automobile,8192,0.7858,0.673,8.497627019882202
1,Conv_1,truck,automobile,1280,0.9782,0.9215,1.0934538841247559
2,global_average_pooling2d,truck,automobile,1280,0.9858,0.9135,1.1472015380859375
3,predictions,truck,automobile,10,0.9745,0.907,0.015294551849365234
4,expanded_conv_project,truck,automobile,4096,1.0,0.813,4.423264026641846
5,block_1_project,truck,automobile,1536,0.9416,0.846,1.286308765411377
6,block_2_project,truck,automobile,1536,0.9669,0.8605,1.271256685256958
7,block_3_project,truck,automobile,512,0.9457,0.9035,0.5013628005981445
8,block_4_project,truck,automobile,512,0.9535,0.91,0.48511290550231934
9,block_5_project,truck,automobile,512,0.9569,0.9015,0.4899468421936035
10,block_6_project,truck,automobile,256,0.9746,0.922,0.23522067070007324
11,block_7_project,truck,automobile,256,0.9748,0.908,0.27827882766723633
12,block_8_project,truck,automobile,256,0.9798,0.9155,0.505915641784668
13,block_9_project,truck,automobile,256,0.9818,0.9145,0.2563948631286621
14,block_10_project,truck,automobile,384,0.9895,0.921,0.3621675968170166
15,block_11_project,truck,automobile,384,0.9848,0.916,0.3499267101287842
16,block_12_project,truck,automobile,384,0.9824,0.917,0.3508012294769287
17,block_13_project,truck,automobile,160,0.9809,0.9225,0.17576098442077637
18,block_14_project,truck,automobile,160,0.8014,0.7735,0.146683931350708
19,block_15_project,truck,automobile,160,0.6375,0.642,0.05138897895812988
20,block_16_project,truck,automobile,320,0.9785,0.921,0.32921695709228516
21,,,,,,,
22,pixel,truck,automobile,3072,0.7798,0.6695,2.9589731693267822
